143,-0.414,2.33,6.846
144,-0.453,2.448,6.48
145,0.242,2.563,7.455
146,0.771,2.771,8.219
147,1.187,3.015,7.471
148,1.515,3.578,5.963
149,1.439,3.858,5.223
150,0.902,4.165,5.953
151,0.539,4.527,7.572
152,0.644,4.651,9.476
153,1.067,4.797,10.432
154,1.453,5.032,10.257
155,1.68,5.128,10.913
156,1.283,5.061,11.239
157,0.534,5.255,10.669
158,0.462,5.315,10.48
159,1.201,5.135,11.227
160,1.932,4.756,11.857
161,2.071,3.796,12.252
162,1.225,2.462,13.188
163,0.086,1.858,13.622
164,-0.189,1.954,11.591
165,0.379,2.62,8.877
166,1.352,3.154,7.778
167,1.963,3.384,7.519
168,1.635,3.116,7.304
169,1.271,2.862,6.753
170,1.254,2.809,6.923
171,1.115,2.769,7.747
172,1.016,2.802,8.782
173,0.697,2.694,9.093
174,0.297,2.848,7.802
175,0.211,3.334,6.554
176,0.113,3.557,6.695
177,-0.081,3.607,7.883
178,0.046,3.734,8.973
179,0.455,4.086,8.726
180,1.319,4.668,8.554
181,1.8,4.962,9.648
182,0.702,4.591,10.401
183,-0.577,4.21,10.163
184,-0.776,4.28,10.52
185,-0.314,4.481,11.639
186,0.23,4.713,12.388
187,0.235,4.998,11.737
188,0.106,5.406,10.209
189,0.211,5.578,9.438
190,0.592,5.113,9.957
191,0.546,3.909,12.144
192,0.046,2.773,14.252
193,-0.357,2.402,12.994
194,-0.51,2.742,9.055
195,-0.752,3.142,6.42
196,-1.648,3.073,6.442
197,-2.095,2.479,8.156
198,-1.305,2.474,8.959
199,0.438,3.219,8.499
200,2.066,3.892,8.279
201,1.989,3.767,8.724
202,0.561,3.149,8.808
203,-0.601,2.634,8.075
204,-0.67,2.778,7.541
205,0.546,3.655,7.261
206,0.843,4.115,7.594
207,0.031,3.789,8.298
208,-0.306,3.54,8.506
209,-0.376,3.592,9.258
210,0.003,3.933,9.842
211,0.216,4.237,9.481
212,0.357,4.258,8.942
213,0.795,4.287,8.513
214,1.201,4.093,8.956
215,0.907,3.672,10.415
216,0.209,3.571,10.856
217,-0.199,3.918,9.967
218,0.252,4.448,8.841
219,0.843,4.862,8.782
220,1.24,4.768,9.167
221,1.489,4.091,9.677
222,1.036,3.552,11.459
223,0.316,3.37,12.331
224,0.647,3.506,10.745
225,1.388,3.674,8.743
226,1.328,3.341,8.034
227,0.96,2.778,8.061
228,0.75,2.634,7.831
229,1.163,2.919,7.222
230,1.623,3.267,7.146
231,1.46,3.303,8.057
232,0.388,2.879,9.033
233,-0.091,2.8,8.453
234,0.232,3.236,7.294
235,1.06,3.82,7.122
236,1.412,4.079,7.747
237,0.824,3.983,8.384
238,0.623,4.014,8.638
239,1.108,4.337,8.954
240,1.417,4.665,9.347
241,1.218,4.962,9.529
242,0.546,4.871,10.116
243,-0.148,4.737,10.18
244,-0.266,4.824,9.979
245,0.115,4.864,10.899
246,0.388,4.857,12.465
247,0.165,4.888,12.527
248,-0.266,5.061,10.796
249,-0.235,5.398,9.272
250,-0.026,5.343,8.71
251,0.314,4.639,9.416
252,0.405,3.942,11.129
253,-0.244,3.367,11.926
254,-1.183,3.078,10.504
255,-1.595,3.111,8.631
256,-1.377,3.245,7.534
257,-0.836,3.188,8.396
258,-0.062,2.867,10.163
259,0.74,2.8,10.446
260,1.297,3.207,8.758
261,1.367,3.269,7.469
262,0.414,2.879,7.759
263,-0.467,2.474,8.377
264,-0.405,2.534,7.977
265,0.29,3.087,7.972
266,1.134,3.873,7.905
267,0.733,4.064,7.297
268,-0.558,3.542,7.11
269,-0.637,3.604,7.186
270,0.038,3.861,7.778
271,0.805,4.177,8.765
272,1.757,4.677,9.234
273,2.162,4.749,9.404
274,1.513,4.184,10.23
275,0.745,3.422,11.205
276,0.065,3.173,11.691
277,-0.395,3.578,10.709
278,-0.11,4.083,9.186
279,0.728,4.718,8.626
280,0.948,4.553,8.82
281,1.446,3.482,10.678
282,1.673,3.142,12.695
283,0.95,3.525,12.417
284,0.683,3.727,10.856
285,0.912,3.808,9.055
286,1.223,3.763,7.903
287,1.577,3.729,7.412
288,1.582,3.607,7.658
289,1.506,3.451,8.377
290,1.692,3.47,8.719
291,1.925,3.559,8.607
292,1.463,3.705,8.043
293,1.046,3.803,7.752
294,0.938,3.849,7.663
295,0.678,3.803,7.287
296,0.489,3.815,6.88
297,0.271,4.064,6.674
298,0.489,4.349,7.012
299,1.108,4.701,7.852
300,1.41,4.888,8.554
301,1.137,4.989,8.892
302,0.589,5.082,9.498
303,-0.275,5.128,9.898
304,-0.438,5.132,9.831
305,0.156,5.147,10.13
306,0.862,5.14,11.042
307,1.077,5.267,12.125
308,0.527,5.542,11.921
309,0.297,5.87,10.415
310,0.664,5.976,9.002
311,1.17,5.149,9.39
312,1.06,3.815,12.118
313,0.034,2.908,13.914
314,-0.747,2.697,11.256
315,-0.898,3.176,7.797
316,-1.008,3.499,6.595
317,-1.487,3.109,7.34
318,-1.157,2.596,8.18
319,-0.25,2.565,8.597
320,0.814,2.802,8.693
321,0.776,2.86,8.82
322,0.187,2.63,8.973
323,-0.187,2.685,8.463
324,0.015,3.149,7.117
325,0.592,3.765,6.492
326,0.824,4.105,6.717
327,0.513,4.131,7.196
328,0.489,4.342,7.246
